"CNT","SUBNATIO","STRATUM","OECD","NC","SCHOOLID","SC01Q01","SC02Q01","SC02Q02","SC02Q03","SC02Q04","SC03Q01","SC04Q01","SC05Q01","SC07Q01","SC07Q02","SC09Q11","SC09Q12","SC09Q21","SC09Q22","SC09Q31","SC09Q32","SC10Q11","SC10Q12","SC10Q61","SC10Q62","SC10Q21","SC10Q22","SC10Q41","SC10Q42","SC10Q51","SC10Q52","SC11Q01","SC11Q02","SC11Q03","SC13Q01","SC13Q02","SC13Q03","SC14Q01","SC14Q02","SC14Q03","SC14Q04","SC14Q05","SC14Q06","SC14Q07","SC14Q08","SC14Q09","SC14Q10","SC14Q11","SC14Q12","SC14Q13","SC15Q01","SC15Q02","SC15Q03","SC15Q04","SC16Q01","SC16Q02","SC16Q03","SC16Q04","SC16Q05","SC16Q06","SC16Q07","SC16Q08","SC16Q09","SC16Q10","SC16Q11","SC18Q01","SC18Q02","SC18Q03","SC18Q04","SC18Q05","SC18Q06","SC18Q07","SC18Q08","SC19Q01","SC19Q02","SC20Q01","SC21Q05","SC22Q01","SC22Q02","SC22Q03","SC22Q04","SC22Q05","SC22Q06","SC22Q07","SC22Q08","SC22Q09","SC22Q10","SC22Q11","SC22Q12","SC22Q13","SC22Q14","SC22Q15","SC22Q16","SC22Q17","SC22Q18","SC22Q19","SC23Q01","SC24Q01","SC25Q01","SC25Q02","SC25Q03","SC25Q04","SC25Q05","SC25Q06","SC25Q07","SC25Q08","SC25Q09","SC25Q10","SC25Q11","SC25Q12","SC26Q01","SC26Q02","SC26Q03","SC26Q04","SC27Q01","SC27Q02","SC28Q01","SC28Q02","SC29Q01","SC29Q02","SC30Q01","SC30Q02","SC30Q03","SC30Q04","SC31Q01","SC31Q02","SC31Q03","SC31Q04","SC31Q05","SC31Q06","SC31Q07","SC32Q01","SC32Q03","SC32Q04","SC32Q05","SC32Q06","SC32Q07","SC32Q08","SC33Q01A","SC33Q01B","SC33Q01C","SC33Q01D","SC33Q01E","SC33Q02A","SC33Q02B","SC33Q02C","SC33Q02D","SC33Q02E","SC33Q03A","SC33Q03B","SC33Q03C","SC33Q03D","SC33Q03E","SC33Q04A","SC33Q04B","SC33Q04C","SC33Q04D","SC33Q04E","SC33Q05A","SC33Q05B","SC33Q05C","SC33Q05D","SC33Q05E","SC33Q06A","SC33Q06B","SC33Q06C","SC33Q06D","SC33Q06E","SC33Q07A","SC33Q07B","SC33Q07C","SC33Q07D","SC33Q07E","SC33Q08A","SC33Q08B","SC33Q08C","SC33Q08D","SC33Q08E","SC33Q09A","SC33Q09B","SC33Q09C","SC33Q09D","SC33Q09E","SC33Q10A","SC33Q10B","SC33Q10C","SC33Q10D","SC33Q10E","SC33Q11A","SC33Q11B","SC33Q11C","SC33Q11D","SC33Q11E","SC33Q12A","SC33Q12B","SC33Q12C","SC33Q12D","SC33Q12E","SC34Q01","SC34Q02","SC34Q03","SC34Q04","SC34Q05","SC34Q06","SC34Q07","SC34Q08","SC34Q09","SC34Q10","SC34Q11","SC34Q12","SC34Q13","SC34Q14","SC34Q15","SC34Q16","SC34Q17","SC34Q18","SC34Q19","SC34Q20","SC34Q22","SC35Q01","SC35Q02","SC39Q01","SC39Q02","SC39Q03","SC39Q05","SC39Q06","SC39Q07","SC39Q08","SC39Q09","SC39Q10","SC40Q01","SC40Q02","SC40Q03","SC44Q01","SC44Q02","SC44Q03","SC44Q04","SC44Q05","SC44Q06","SC47Q01","SC45Q01","SC46Q01","SC46Q02","SC46Q03","SC46Q05","SC46Q04","SC46Q06","SC46Q09","SC52Q01","SC46Q07","SC46Q08","SC52Q02","SC51Q01","SC51Q02","ABGMATH","ASSESS","CLSIZE","COMPWEB","CREACTIV","LEADCOM","LEADINST","LEADPD","LEADTCH","MACTIV","MATHEXC","PCGIRLS","PROPCERT","PROPMA5A","PROPMATH","PROPQUAL","RATCMP15","RESPCUR","RESPRES","SCHAUTON","SCHLTYPE","SCHSEL","SCHSIZE","SCMATBUI","SCMATEDU","SMRATIO","STRATIO","STUDCLIM","TCFOCST","TCHPARTI","TCMORALE","TCSHORT","TEACCLIM","W_FSCHWT","SENWGT_SCQ","VER_SCQ"
"JPN",3920000,"JPN0101",1,39200,11,1,93,6,1,0,5,1,6,621,527,51,14,51,14,51,14,7,3,7,3,9997,9997,9997,9997,9997,9997,397,61,48,1,2,2,1,1,1,2,1,1,1,1,1,3,3,3,3,2,3,3,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,3,2,2,3,2,2,1,1,2,2,1,3,1,2,2,1,3,2,2,2,0,3,0,100,0,100,10,10,0,0,0,8,8,9997,2,2,2,2,2,2,2,2,2,1,1,2,1,2,3,3,1,3,3,4,4,3,1,1,3,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4,2,3,3,3,2,3,3,5,5,4,2,6,3,3,3,3,3,3,3,3,2,10,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,4,38,0.787,2,-0.6467,-0.8328,0.1183,-0.0388,2,3,0.459,1,9997,0.147,1,0.154,1.44,-0.7,-0.6029,3,3,1148,-1.0894,0.7524,135.059,19.793,0.0882,0.0095,-1.8472,-0.7371,-0.2817,-0.2762,15.1156,2.1467,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,12,1,100,0,0,0,4,1,6,428,426,46,18,46,18,46,18,8,1,8,1,9997,9997,9997,9997,9997,9997,280,75,75,2,1,5,1,1,1,2,4,1,2,2,3,3,3,4,4,3,2,3,1,1,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,9,3,3,3,2,4,2,1,2,3,2,3,1,3,3,2,3,2,2,2,1,3,3,10,40,25,5,5,0,0,0,10,5,9997,2,2,3,3,3,2,3,2,2,3,2,1,1,1,3,3,2,3,1,3,3,3,1,1,1,1,3,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,4,2,3,4,3,3,4,4,4,5,3,2,4,3,3,2,3,4,2,3,2,3,13,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,3,38,1,2,-0.3532,-0.2137,-0.3717,-0.3206,0,9,0.499,1,9997,0.155,1,0.268,-0.43,-0.44,0.3196,3,3,854,-1.9349,-0.6941,100.471,15.527,-1.0211,-0.6748,-1.8472,-1.8308,-0.2817,-1.0394,18.6255,2.6451,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,13,1,100,0,0,0,2,2,4,205,124,28,10,28,10,28,10,4,1,4,1,9997,9997,9997,9997,9997,9997,108,40,40,2,2,5,1,1,1,3,2,1,3,3,3,2,2,3,3,1,1,1,3,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,3,3,3,2,2,2,1,2,3,2,3,2,3,2,1,2,2,1,1,1,2,0,100,0,100,20,0,0,0,0,48,0,9997,2,2,3,3,2,3,4,2,2,3,2,2,2,2,2,2,1,1,1,1,1,3,2,1,2,1,3,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,1,2,2,1,2,1,5,5,2,5,5,2,3,3,2,2,2,1,2,0,0,1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,3,5,28,1,2,-2.3149,-2.7664,-0.3717,0.2118,2,2,0.377,1,9997,0.136,1,0.37,1.44,-0.7,-0.6029,3,3,329,-0.763,-0.5214,73.111,9.97,-0.6182,0.0095,-1.8472,-1.8308,0.1524,-0.4382,51.419,7.3024,"28NOV13"
"JPN",3920000,"JPN0202",1,39200,14,1,99,1,0,0,3,1,7,365,292,57,11,57,11,57,11,5,0,5,0,9997,9997,9997,9997,9997,9997,244,132,132,2,3,4,1,1,1,3,2,1,3,3,2,2,1,3,1,3,3,3,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,3,4,3,4,3,2,2,2,2,2,2,4,2,3,2,1,2,2,2,2,2,2,14,95,14,95,5,0,0,0,0,5,0,9997,1,1,1,2,2,3,4,1,2,3,1,1,1,1,1,1,2,2,2,3,3,3,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,6,6,3,2,3,2,2,3,3,4,2,2,3,3,3,3,3,3,2,2,20,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,5,43,1,1,0.5331,-1.2063,-1.7186,-0.3206,3,3,0.444,1,9997,0.08,1,0.541,1.44,-0.56,-0.3533,3,3,657,0.1539,-0.3482,131.4,10.512,-1.3831,0.702,-1.8472,0.8541,0.1524,-0.7478,25.0802,3.5618,"28NOV13"
"JPN",3920000,"JPN0203",1,39200,15,2,31,60,0,9,5,1,7,955,580,81,5,81,5,81,5,11,0,11,0,9997,9997,9997,9997,9997,9997,487,144,144,5,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,3,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,2,10,100,10,100,0,0,0,0,0,0,0,9997,2,2,2,2,3,3,2,2,3,3,2,2,2,2,1,1,1,1,2,3,3,3,3,2,3,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,2,4,2,4,4,2,2,4,2,4,4,2,4,4,2,3,2,3,2,4,2,4,0,0,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,2,43,1,2,-0.3532,-1.6346,-0.3717,-0.3206,3,3,0.378,1,9997,0.132,1,0.296,1.44,0.67,1.6038,1,3,1535,1.3052,0.7524,139.545,18.383,0.0882,-1.2132,1.2429,-0.7371,-1.0911,-0.2762,17.6426,2.5056,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,16,1,56,44,0,0,3,1,4,475,565,52,17,52,17,52,17,9,3,9,3,9997,9997,9997,9997,9997,9997,360,43,43,1,1,5,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,5,0,3,0,0,0,2,0,9997,2,2,2,1,2,3,1,3,3,2,1,2,1,2,1,1,1,1,1,2,3,3,3,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,3,3,2,2,2,2,3,5,4,6,5,5,3,3,4,4,2,2,2,0,0,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,6,28,1,2,-0.0958,-1.6346,-0.8842,0.9477,1,2,0.543,1,9997,0.174,1,0.119,1.44,-0.7,-0.6029,3,3,1040,0.1539,1.976,99.048,17.19,1.5235,-1.2132,-1.8472,0.0826,-1.0911,1.4756,17.4377,2.4765,"28NOV13"
"JPN",3920000,"JPN0203",1,39200,17,2,40,60,0,0,5,1,6,0,550,40,20,40,20,40,20,6,2,6,2,9997,9997,9997,9997,9997,9997,142,40,40,3,3,3,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,3,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,9,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,3,2,1,3,0,2,5,60,5,60,10,10,0,30,0,0,30,9997,3,3,2,2,3,2,2,3,3,3,1,2,1,2,1,1,2,1,3,2,3,3,2,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,4,2,4,1,2,1,2,1,2,4,4,2,4,4,2,2,4,4,3,1,4,0,0,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,3,4,38,1,3,-0.6467,-2.7664,-1.4262,-0.3206,0,9,1,1,9997,0.14,1,0.282,1.44,0.67,1.6038,1,3,550,-0.1662,0.018,78.571,11,1.958,-1.7632,1.6345,-1.8308,-1.0911,-0.2762,35.8902,5.097,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,18,1,100,0,0,0,5,1,6,483,429,52,0,52,0,52,0,8,0,8,0,9997,9997,9997,9997,9997,9997,319,80,80,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,3,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,9,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,3,1,2,2,0,1,35,35,35,35,0,0,0,0,0,1,0,9997,2,2,2,2,2,3,2,3,2,3,1,2,1,2,4,1,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4,3,3,3,3,3,3,2,4,1,4,1,4,2,3,3,4,4,4,3,3,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,3,4,38,1,3,-0.6467,-0.8328,-0.6241,-1.9239,1,9,0.47,1,9997,0.154,1,0.251,1.44,-0.7,-0.6029,3,3,912,-0.1662,1.976,114,17.538,-0.3977,-0.6748,-1.8472,-0.7371,-1.0911,-0.7478,19.679,2.7948,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,19,1,100,0,0,0,4,1,6,0,957,60,0,60,0,60,0,9,0,9,0,9997,9997,9997,9997,9997,9997,319,112,112,5,5,5,2,1,1,1,2,1,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,1,3,1,1,2,2,2,1,1,1,2,1,3,1,2,2,1,2,2,2,2,0,1,0,0,0,100,0,0,0,0,0,0,0,9997,2,2,2,2,2,3,2,2,2,2,1,1,1,2,1,1,1,1,2,3,4,3,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,2,3,3,3,2,2,4,4,3,4,3,2,3,2,2,2,2,3,2,5,33,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,7,38,1,3,-1.3694,-0.8328,-1.1508,-0.0388,3,3,1,1,9997,0.15,1,0.351,1.44,-0.7,-0.6029,3,3,957,-0.1662,0.018,106.333,15.95,1.1879,0.0095,-1.0488,-0.7371,-0.2817,-0.1089,19.6175,2.786,"28NOV13"
"JPN",3920000,"JPN0202",1,39200,20,1,100,0,0,0,4,3,3,269,447,70,13,70,13,70,13,6,0,6,0,9997,9997,9997,9997,9997,9997,240,160,113,1,2,3,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,3,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,3,1,1,2,2,2,1,2,2,3,3,2,2,2,3,1,3,3,2,2,0,2,0,0,0,50,0,2,0,0,0,1,0,9997,2,2,2,3,3,2,4,3,4,3,1,2,1,2,3,2,2,2,3,3,4,3,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,6,2,2,3,2,3,3,1,3,6,4,3,4,2,3,3,3,3,3,2,3,4,50,1,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,3,2,23,0.706,3,-1.3694,-1.6346,-0.8842,0.4499,3,3,0.624,1,9997,0.078,1,0.667,1.44,-0.36,-0.0586,3,3,716,0.5582,0.4606,119.333,9.359,0.6173,-2.336,-1.8472,-1.4838,-1.0911,-1.0394,24.7705,3.5179,"28NOV13"
"JPN",3920000,"JPN0203",1,39200,21,2,36,56,2,6,4,1,5,538,224,108,0,108,0,108,0,18,0,18,0,9997,9997,9997,9997,9997,9997,256,116,116,2,2,2,2,2,3,4,2,1,1,1,1,1,4,2,3,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,3,1,1,2,2,2,2,1,2,2,2,4,1,3,2,2,2,2,2,2,1,1,5,80,5,80,0,10,0,0,1,10,0,9997,1,1,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,2,1,1,2,1,3,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,2,2,1,2,2,2,3,4,2,4,3,4,4,2,3,3,6,3,3,2,11,1,2,2,1,9,1,2,2,2,2,2,1,2,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,5,33,1,2,-0.9829,-2.1357,-1.4262,-0.3206,3,3,0.294,1,9997,0.167,1,0.453,1.44,1.18,1.6038,1,3,762,-1.0894,1.1619,42.333,7.056,0.6173,0.0095,0.7801,0.4686,1.4526,-0.7478,22.3138,3.1689,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,22,1,100,0,0,0,4,3,6,374,383,68,2,68,2,68,2,14,0,14,0,9997,9997,9997,9997,9997,9997,241,60,44,5,3,5,3,1,1,2,3,1,4,3,1,4,4,4,4,1,3,1,3,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,3,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,0,2,0,100,0,100,0,5,0,0,0,0,0,9997,2,2,1,2,2,3,1,3,2,2,1,1,1,2,1,1,2,3,2,3,3,3,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4,2,3,3,2,2,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,6,29,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,3,4,38,0.733,3,-0.9829,-1.2063,-1.1508,-0.6535,3,3,0.506,1,9997,0.203,1,0.249,1.44,-0.7,-0.6029,3,3,757,-2.755,-0.87,54.071,10.971,0.8936,-0.6748,-1.8472,0.0826,0.4567,1.145,22.3402,3.1727,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,23,1,100,0,0,0,4,1,6,195,375,41,0,41,0,41,0,4,0,4,9998,9997,9997,9997,9997,9997,9997,200,60,60,1,3,5,1,2,3,3,1,1,1,1,1,1,1,1,2,3,3,3,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,3,3,2,3,2,3,1,1,2,2,2,3,1,3,2,1,2,2,1,2,1,3,5,20,3,20,10,10,0,5,0,40,0,9997,2,2,3,3,3,3,3,1,3,3,2,1,1,2,1,1,2,2,2,3,3,3,2,2,2,1,3,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,4,2,3,3,2,3,4,4,4,5,4,1,4,4,3,3,3,4,5,2,5,0,0,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,5,38,1,3,-0.3532,-0.5037,-0.3717,-0.3206,3,3,0.658,1,9997,0.098,1,0.3,1.44,-0.7,-0.6029,3,3,570,0.5582,1.976,142.5,13.902,-0.3977,-0.6748,-0.1437,-1.8308,0.9454,-0.2762,29.9305,4.2507,"28NOV13"
"JPN",3920000,"JPN0203",1,39200,24,2,37,43,3,17,4,1,4,0,305,60,11,60,11,60,11,7,2,7,2,9997,9997,9997,9997,9997,9997,104,40,40,1,1,3,2,1,2,3,3,2,2,3,3,3,4,1,3,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,3,2,2,3,3,3,2,1,2,2,2,4,2,2,3,2,3,3,2,2,0,2,1,1,1,100,5,0,0,1,0,3,100,9997,2,1,1,2,3,2,3,2,2,2,1,2,2,2,1,1,1,3,3,3,3,3,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,4,2,2,3,2,2,3,2,5,4,3,3,4,3,3,2,3,3,2,2,2,5,33,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,6,28,1,2,-0.9829,-1.6346,-0.3717,-0.3206,2,3,1,1,9997,0.122,1,0.385,1.44,0.67,1.6038,1,3,305,-0.763,-0.87,38.125,4.656,-0.6182,-0.6748,-0.1437,0.4686,0.7093,-1.1788,58.4095,8.2952,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,25,1,88,12,0,0,4,1,6,411,459,45,4,45,4,45,4,6,0,6,0,9997,9997,9997,9997,9997,9997,279,41,41,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,1,1,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,3,2,2,2,2,2,1,1,1,2,2,3,1,2,2,1,2,2,2,2,0,2,0,2,0,50,0,0,0,0,0,1,0,9997,2,2,2,3,3,2,2,3,2,3,2,2,1,1,2,2,3,2,3,3,2,3,2,1,1,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,4,2,3,3,2,2,2,2,3,5,3,2,3,3,3,3,3,3,3,2,6,2,17,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,6,38,1,2,-0.6467,-1.6346,-1.4262,-0.3206,2,3,0.528,1,9997,0.128,1,0.147,1.44,-0.56,-0.3533,3,3,870,-0.1662,1.976,145,18.511,0.6173,-1.2132,-0.1437,-1.4838,-1.0911,-0.2762,19.4956,2.7687,"28NOV13"
"JPN",3920000,"JPN0101",1,39200,26,1,100,0,0,0,3,1,6,372,328,63,0,63,0,63,0,10,0,10,0,9997,9997,9997,9997,9997,9997,221,80,60,1,1,1,1,1,1,1,3,1,4,4,4,4,1,3,3,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1,3,2,2,2,2,2,2,1,2,2,2,3,1,1,2,1,2,3,2,2,0,1,0,0,0,3,3,0,0,0,0,100,3,9997,2,2,2,2,3,2,2,3,3,3,1,2,1,2,1,1,1,1,2,2,2,3,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4,2,3,3,2,2,2,3,3,6,4,5,2,3,2,2,2,3,2,2,3,0,0,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,2,4,38,0.75,3,-0.6467,-1.2063,-1.7186,0.9477,3,3,0.469,1,9997,0.159,1,0.362,1.44,-0.56,-0.3533,3,3,700,-0.4622,-1.6925,70,11.111,0.0882,-1.7632,-1.8472,-0.7371,-1.0911,-0.2762,26.0481,3.6993,"28NOV13"
"JPN",3920000,"JPN0202",1,39200,27,1,100,0,0,0,3,3,4,19,41,45,0,45,0,45,0,3,0,3,0,9997,9997,9997,9997,9997,9997,30,105,105,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,1,3,3,3,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,9,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,3,5,100,5,100,0,5,0,0,0,0,0,9997,1,1,1,2,2,3,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,3,3,1,3,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,4,3,3,3,2,3,5,2,4,2,3,9,4,2,2,3,1,1,6,3,3,3,33,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9999,9999,1,3,28,1,3,-0.6467,-1.2063,-0.1263,-1.644,1,9,0.683,1,9997,0.067,1,3.5,1.44,-0.7,-0.6029,3,3,60,1.3052,0.7524,20,1.333,2.752,0.0095,0.2924,0.8541,-1.0911,1.9386,120.3848,17.0968,"28NOV13"
